bodyweight_kg,total_kg
73.6,512.6
73.4,465.5
96.89,201.85
104.87,508.02
122.0,692.5
62.7,65.0
90.7,127.5
87.8,440.0
51.35,381.02
90.4,550.0
70.0,445.0
81.8,512.5
103.6,517.5
78.3,295.0
65.0,410.0
59.6,399.16
56.3,332.5
73.0,67.5
65.4,497.5
99.0,670.0
81.74,784.71
92.9,442.5
115.5,771.1
88.36,621.42
60.0,427.5
88.6,200.0
72.2,30.0
100.9,155.0
74.8,255.0
101.2,492.15
88.6,132.5
144.33,821.0
91.8,181.5
84.55,365.14
74.98,619.15
101.4,580.0
88.63,240.4
99.43,911.72
81.01,467.2
73.48,319.78
86.9,565.0
66.81,60.0
74.0,407.5
54.5,337.5
81.4,230.0
98.79,403.7
104.69,247.21
89.36,798.32
56.0,70.0
57.0,322.5
